,cps19_fed_gov_sat,cps19_spend_env,cps19_fed_id,cps19_province,cps19_education,cps19_age,cps19_imp_iss_party
16791,Very satisfied,Spend more,Liberal,Quebec,Bachelor's degree,53,Liberal Party
16792,Not very satisfied,Spend more,Conservative,Nova Scotia,"Completed technical, community college, CEGEP, College Classique",67,Liberal Party
16793,Not at all satisfied,Spend about the same as now,Conservative,Quebec,"Some technical, community college, CEGEP, College Classique",62,Conservative Party
16794,Very satisfied,Spend more,Liberal,British Columbia,Some university,56,Liberal Party
16795,Very satisfied,Spend about the same as now,Liberal,British Columbia,Bachelor's degree,73,
16796,Not at all satisfied,Spend more,Green,Alberta,Some university,53,
16797,Not at all satisfied,Spend more,None of these,Ontario,Bachelor's degree,52,Don't know/ Prefer not to answer
16798,Fairly satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Nova Scotia,"Completed technical, community college, CEGEP, College Classique",55,Don't know/ Prefer not to answer
16799,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Alberta,Bachelor's degree,49,Another party (please specify)
16800,Fairly satisfied,Spend more,Liberal,Quebec,"Some technical, community college, CEGEP, College Classique",37,Liberal Party
16801,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Quebec,Master's degree,35,Don't know/ Prefer not to answer
16802,Fairly satisfied,Spend about the same as now,Green,Quebec,Some university,29,
16803,Not very satisfied,Spend more,ndp,Quebec,"Completed technical, community college, CEGEP, College Classique",27,Green Party
16804,Not at all satisfied,Spend about the same as now,Conservative,Alberta,Some university,68,
16805,Very satisfied,Spend about the same as now,People's Party,Ontario,Completed secondary/ high school,66,Liberal Party
16806,Fairly satisfied,Spend more,Conservative,Ontario,Master's degree,75,Don't know/ Prefer not to answer
16807,Fairly satisfied,Spend more,Liberal,Quebec,Bachelor's degree,38,
16808,Not very satisfied,Spend more,Liberal,Ontario,Master's degree,29,Don't know/ Prefer not to answer
16809,Fairly satisfied,Spend more,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",59,Liberal Party
16810,Fairly satisfied,Spend about the same as now,Liberal,British Columbia,Bachelor's degree,59,Liberal Party
16811,Fairly satisfied,Spend more,Liberal,Quebec,Bachelor's degree,34,Green Party
16812,Very satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Prince Edward Island,"Completed technical, community college, CEGEP, College Classique",68,Liberal Party
16813,Not very satisfied,Spend more,ndp,Ontario,"Completed technical, community college, CEGEP, College Classique",49,
16814,Fairly satisfied,Spend more,Liberal,Alberta,"Completed technical, community college, CEGEP, College Classique",50,Conservative Party
16815,Very satisfied,Spend more,Liberal,Alberta,Some university,60,Liberal Party
16816,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,52,Conservative Party
16817,Don't know/ Prefer not to answer,Spend more,Liberal,Manitoba,Some university,33,Liberal Party
16818,Not at all satisfied,Spend about the same as now,Conservative,Alberta,Completed secondary/ high school,60,
16819,Not very satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Manitoba,"Completed technical, community college, CEGEP, College Classique",32,
16820,Very satisfied,Spend about the same as now,Liberal,Ontario,Master's degree,57,Liberal Party
16821,Very satisfied,Spend more,Liberal,Quebec,Bachelor's degree,56,
16822,Fairly satisfied,Spend more,Liberal,Quebec,Completed secondary/ high school,57,
16823,Not very satisfied,Spend more,Green,Ontario,Completed secondary/ high school,18,Green Party
16824,Fairly satisfied,Spend more,Green,Ontario,Bachelor's degree,24,
16825,Not at all satisfied,Spend more,None of these,New Brunswick,Bachelor's degree,57,Green Party
16826,Fairly satisfied,Spend more,Liberal,Newfoundland and Labrador,Bachelor's degree,58,Liberal Party
16827,Fairly satisfied,Spend more,Liberal,Quebec,Master's degree,32,
16828,Not at all satisfied,Spend about the same as now,Bloc Qu<e9>b<e9>cois,Quebec,"Some technical, community college, CEGEP, College Classique",53,Conservative Party
16829,Fairly satisfied,Spend more,Liberal,Nova Scotia,"Completed technical, community college, CEGEP, College Classique",52,Green Party
16830,Not at all satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Ontario,"Completed technical, community college, CEGEP, College Classique",37,People's Party
16831,Not very satisfied,Spend about the same as now,Liberal,Alberta,Bachelor's degree,66,Conservative Party
16832,Fairly satisfied,Spend more,None of these,Quebec,Some secondary/ high school,43,
16833,Very satisfied,Spend more,Liberal,Quebec,Master's degree,39,Liberal Party
16834,Fairly satisfied,Spend about the same as now,Don't know/ Prefer not to answer,New Brunswick,Bachelor's degree,40,
16835,Not at all satisfied,Spend about the same as now,None of these,Ontario,Some university,61,ndp
16836,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Completed secondary/ high school,49,Bloc Qu<e9>b<e9>cois
16837,Not very satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Nova Scotia,Some university,47,
16838,Not very satisfied,Spend more,Liberal,Quebec,Completed secondary/ high school,36,Liberal Party
16839,Not at all satisfied,Spend about the same as now,Conservative,Alberta,Bachelor's degree,27,Conservative Party
16840,Not very satisfied,Don't know/ Prefer not to answer,None of these,Ontario,Bachelor's degree,40,
